Ciudad,Pais
AUCKLAND,NUEVA ZELANDA
BILBAO,ESPANA
SANTIAGO,CHILE
BUENOS AIRES,ARGENTINA
CUNDINAMARCA,COLOMBIA
HAMBURG,ALEMANIA
LOS ANGELES,ESTADOS UNIDOS
BERLIN,ALEMANIA
SYDNEY,AUTRALIA
MIAMI,ESTADOS UNIDOS
MISLATA,ESPANA
BOGOTA,COLOMBIA
MADRID,ESPANA
SAO PAULO,BRASIL
WELLINGTON,NUEVA ZELANDA
LUDWINGSBURG,ALEMANIA
ONTARIO,CANADA
MUNICH,ALEMANIA
VINA DEL MAR,CHILE
VALENCIA,ESPANA
PORTO ALEGRE,BRASIL
NELSON,NUEVA ZELANDA
BRUSELAS,BELGICA
NUEVA YORK,ESTADOS UNIDOS
FRANKFURT,ALEMANIA
MEDELLIN,COLOMBIA
SACRAMENTO,ESTADOS UNIDOS
RIO DE JANEIRO,BRASIL
BARCELONA,ESPANA
HANOVER,ALEMANIA
TORONTO,CANADA
TEXAS,ESTADOS UNIDOS
BOSTON,ESTADOS UNIDOS
VALPARAISO,CHILE
MENDOZA,ARGENTINA
BRASILIA,BRASIL
NEWTOWN,AUTRALIA
OTTAWA,CANADA
FOREST,BELGICA
LOWER HUTT,NUEVA ZELANDA
COLOGNE,ALEMANIA
OSTEND,BELGICA
PHILADELPHIA,ESTADOS UNIDOS
WASHINGTON DC,ESTADOS UNIDOS
HAMILTON,CANADA
