id_productora,Nombre,Pais
1,LetsGo Company,ESPANA
2,Live Nation,ESTADOS UNIDOS
3,Janos Eventos,ARGENTINA
4,fullevent.de,ALEMANIA
5,B+D Events,ALEMANIA
6,PROSPERO PRODUCCIONES,ARGENTINA
7,Producciones oz limitada,CHILE
8,Dnj Producciones,COLOMBIA
9,ESPECTACULOS GALLO,ARGENTINA
10,Eventveranstalter Hamburg,ALEMANIA
11,Bizarro producciones limitada,CHILE
12,Sony music entertainment chile s.a.,CHILE
13,Sach producciones y eventos limitada,CHILE
14,Multimusica s.a.,CHILE
15,Somosfk,BRASIL
16,efeunodos,COLOMBIA
17,Onanof producciones limitada,CHILE
18,Aguero producciones limitada,CHILE
19,Sono producciones limitada,CHILE
20,EL MAGNO PRODUCCIONES S.R.L. ,ARGENTINA
21,Arte3,CHILE
22,OZONO y PIEDRA MALA PRODUCCIONES ,ARGENTINA
23,Padrao Bull Prime,BRASIL
24,Cucarro producciones limitada,CHILE
25,Bafochi ltda,CHILE
26,Yataco,ALEMANIA
27,Casa eventos,CHILE
28,Brasil Stands,BRASIL
29,German norambuena y cia ltda,CHILE
30,Your Dream,COLOMBIA
31,Rove.me,BELGICA
32,Charco booking spa,CHILE
33,Eventos flores y padilla limitada,CHILE
34,Reverb - productora de eventos,CHILE
35,Bautrip,BELGICA
36,Somosfk,COLOMBIA
37,Expat,CANADA
38,Soc concesionaria arena bicentenario s a,CHILE
39,Productora dreams pro limitada,CHILE
40,AEG,ESTADOS UNIDOS
41,Lotus sonar spa,CHILE
42,K PRODUCCIONES S.A.,ARGENTINA
43,Actitud creaciones,CHILE
44,Alva producciones ltda,CHILE
45,Eventos y banqueteria leonor contreras hormazabal e.i.r.l.,CHILE
46,Eventlocations Munchen,ALEMANIA
47,Horwath Productions INC.,ESTADOS UNIDOS
48,AV Company,AUSTRALIA
49,Ecopass,CHILE
50,Litmind,ALEMANIA
51,Glamour,CHILE
52,Beone - entertainment limitada,CHILE
53,Backstage rockstore s.a.,CHILE
54,Revelation,ESTADOS UNIDOS
55,Agencia 360,BRASIL
56,Grandes Eventos,ESPANA
57,Ditecsur,BRASIL
58,Expat,AUSTRALIA
59,Apparcel producciones limitada,CHILE
