id_recinto,Nombre,Ciudad
1,Powerstation 33,AUCKLAND
2,Euskalduna Bilbao,BILBAO
3,Estadio Bicentario de La Florida,SANTIAGO
4,Antel Arena,BUENOS AIRES
5,Teatro Municipal de Santiago,SANTIAGO
6,Aotea Centre,AUCKLAND
7,Movistar Arena,SANTIAGO
8,Estadio Nemesio Camacho,CUNDINAMARCA
9,Barclaycard Arena,HAMBURG
10,Wilterm Theatre,LOS ANGELES
11,Astra Kulturhaus,BERLIN
12,Bilbao Arena,BILBAO
13,Qudos Bank Arena,SYDNEY
14,FTX Arena,MIAMI
15,Carrer Baix Vinalopo,MISLATA
16,Teatro Caupolican,SANTIAGO
17,Teatro Mayor ,BOGOTA
18,Sala Cool Madrid,MADRID
19,Dodger Stadium,LOS ANGELES
20,Vibra Sao Paulo,SAO PAULO
21,Teatro Coliseo,SANTIAGO
22,FPL Solar Amphitheater,MIAMI
23,Mercedes-Benz Arena,BERLIN
24,Espacio Unimed,SAO PAULO
25,Pabellon Max Schmeling,BERLIN
26,Arena TSB Bank ,WELLINGTON
27,Arena Ludwingsburg,LUDWINGSBURG
28,Estadio Nacional,SANTIAGO
29,Leons Centre,ONTARIO
30,Crypto.com Arena,LOS ANGELES
31,Club RBX,SANTIAGO
32,Freiheitshalle,MUNICH
33,Fundo Colmito,VINA DEL MAR
34,Pabellon Fuente de San Luis,VALENCIA
35,Club Chocolate,SANTIAGO
36,Porto Alegre,PORTO ALEGRE
37,Olympiahalle,MUNICH
38,SALA SANTANA,BILBAO
39,Hipodromo de Palermo,BUENOS AIRES
40,Trafalgar Centre Paru,NELSON
41,Metropolitano Rosario,BUENOS AIRES
42,WIZink Center,MADRID
43,La Madeleine,BRUSELAS
44,El Teatro Flores,BUENOS AIRES
45,La Marina de Valencia,VALENCIA
46,Irving Plaza,NUEVA YORK
47,Festhalle,FRANKFURT
48,Aeroparque Juan Pablo II,MEDELLIN
49,Estadio Santa Laura,SANTIAGO
50,Independance Club,MADRID
51,Club Blondie,SANTIAGO
52,Raley Field,SACRAMENTO
53,Vivo Rio,RIO DE JANEIRO
54,Auckland,AUCKLAND
55,Teatro Cariola,SANTIAGO
56,Madison Square Garden,NUEVA YORK
57,Cirque Royal,BRUSELAS
58,Audio,SAO PAULO
59,Sala Paral,BARCELONA
60,Estadio Monumental,BUENOS AIRES
61,Studio The Venue,AUCKLAND
62,Aussie Stadium,SYDNEY
63,Spark Arena,AUCKLAND
64,Teatro Metropolitano ,MEDELLIN
65,ZAG Arena,HANOVER
66,Mahuhu Cres,AUCKLAND
67,Palau Sant Jordi,BARCELONA
68,UBS Arena,NUEVA YORK
69,Teatro Gran Rex,BUENOS AIRES
70,Thunder Bay,ONTARIO
71,Stage Live Kalea,BILBAO
72,Bikini Barcelona,BARCELONA
73,Opera de Sidney,SYDNEY
74,Youtube Theatre,LOS ANGELES
75,Rock City,VALENCIA
76,Ace of Spades,BOGOTA
77,City Hall el Rodeo,MEDELLIN
78,The Brooklyn Monarch,NUEVA YORK
79,Moon Valencia,VALENCIA
80,Palau de la Musica Catalana,BARCELONA
81,The Opera House,TORONTO
82,Warehouse Live,TEXAS
83,Shubert Theatre,BOSTON
84,Air Canada Centre,TORONTO
85,Estadio de Futbol Atanasio Girardot,MEDELLIN
86,El Huevo,VALPARAISO
87,Club Providencia,SANTIAGO
88,State Theatre,SYDNEY
89,Multiespacio Cultural,MENDOZA
90,Tarpeian Precinct Lawn,SYDNEY
91,Explanada Ciudad Empresarial,SANTIAGO
92,Sala But,MADRID
93,SOF Q8 Toinha Brasil,BRASILIA
94,Cupula Multiespacio,SANTIAGO
95,Enmore Theatre,NEWTOWN
96,Jeunesse Arena,RIO DE JANEIRO
97,Estadio Unico Diego Armando Maradona,BUENOS AIRES
98,Teatro Municipal de Valparaiso,VALPARAISO
99,Canadian Tire Centre,OTTAWA
100,Razzmatazz,BARCELONA
101,Sala Apolo,BARCELONA
102,Casino de Vina del Mar,VINA DEL MAR
103,Canada Tire Centre,ONTARIO
104,Bleu Restaurant y Dancing,LOS ANGELES
105,Quinta Vergara,VINA DEL MAR
106,Estadio Rose Bowl,LOS ANGELES
107,Forest National,FOREST
108,Allianz Parque,SAO PAULO
109,Salitre Magico,BOGOTA
110,Velodromo de Berlin,BERLIN
111,The Empire Theatre,ONTARIO
112,HISTORY,TORONTO
113,Big Night Live,BOSTON
114,Estadio Nacional,BUENOS AIRES
115,Days Bay Pavilion,LOWER HUTT
116,Niceto Club,BUENOS AIRES
117,Columbianhalle,BERLIN
118,Parque Bicentenario Cerrillos,SANTIAGO
119,The Forum,LOS ANGELES
120,Estadio Monumental,SANTIAGO
121,Estadio ANZ,SYDNEY
122,Teatro Gramercy,NUEVA YORK
123,Metropol ,BERLIN
124,Danforth Music Hall,TORONTO
125,Teatro Colon,BUENOS AIRES
126,Lanxess Arena,COLOGNE
127,Movistar Arena Dg,CUNDINAMARCA
128,Luna Park,BUENOS AIRES
129,Teatro Teleton,SANTIAGO
130,Carioca Club,SAO PAULO
131,Espacio Riesco,SANTIAGO
132,Kursaal Oostende,OSTEND
133,Club Subterraneo,SANTIAGO
134,E-Werk,COLOGNE
135,Don Haskins Center,TEXAS
136,The Fillmore Philadelphia,PHILADELPHIA
137,The Anthem,WASHINGTON DC
138,Gran Arena Monticello,SANTIAGO
139,Sala La Rivera,MADRID
140,FirstOntario Centre,HAMILTON
141,LAUT,BARCELONA
142,Movistar Arena,BUENOS AIRES
143,Palacio de las Artes,VALENCIA
144,Santo Andre,SAO PAULO
145,Chango Club,MADRID
146,Phoenix Concert Theatre,TORONTO
147,Radio City Music Hall,NUEVA YORK
148,Unidad Residencial la Macarena,MEDELLIN
149,Palais 12,BRUSELAS
